Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2015.06.05,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,N
2015.06.07,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,N
2015.06.11,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,Minor lacerations to foot,N
2015.06.13,2015,Unprovoked,USA,California,Off San Diego,unknown,F,unknown,Severe laceration to leg,N
2015.06.14.a,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,N
2015.06.14.b,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,N
2015.06.17,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N
2015.06.19,2015,Unprovoked,PUERTO RICO,unknown,Off Cabo Rojo,Spearfishing,M,36,Injury to hand,N
2015.06.23,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N
2015.06.24.a,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
2015.06.24.b,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N
2015.06.25,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,N
2015.06.25.R,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N
2015.06.26.a,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N
2015.06.26.b,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N
2015.06.26.c,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,unknown,Minor lacerations to leg,N
2015.06.27.a,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N
2015.06.27.b,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18,"Injuries to right calf, buttock and both hands",N
2015.06.30.a,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N
2015.06.30.b,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,unknown,Hand bitten,N
2015.07.01,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N
2015.07.02,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N
2015.07.03,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N
2015.07.04.a,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",unknown,M,32,Lacerations to right hand & forearm,N
2015.07.04.b,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,Lacerations to lower leg & ankle,N
2015.07.06,2015,Invalid,FRENCH POLYNESIA,Bora Bora,unknown,Swimming,M,unknown,Parallel lacerations to torso inconsistent with shark bite,N
2015.07.08,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,Laceration to back,N
2015.07.19,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N
